LJGauss
N     1001 R        0.1600000E-01      16.0000000
  271       4.3360000       -0.5174610E-03      -0.3752474E-03
  272       4.3520000       -0.5113319E-03      -0.3905216E-03
  273       4.3680000       -0.5049758E-03      -0.4036385E-03
  274       4.3840000       -0.4984260E-03      -0.4147773E-03
  275       4.4000000       -0.4917126E-03      -0.4241045E-03
  276       4.4160000       -0.4848635E-03      -0.4317748E-03
  277       4.4320000       -0.4779039E-03      -0.4379318E-03
  278       4.4480000       -0.4708570E-03      -0.4427088E-03
  279       4.4640000       -0.4637439E-03      -0.4462291E-03
  280       4.4800000       -0.4565838E-03      -0.4486071E-03
  281       4.4960000       -0.4493940E-03      -0.4499488E-03
  282       4.5120000       -0.4421904E-03      -0.4503519E-03
  283       4.5280000       -0.4349873E-03      -0.4499071E-03
  284       4.5440000       -0.4277975E-03      -0.4486978E-03
  285       4.5600000       -0.4206326E-03      -0.4468014E-03
  286       4.5760000       -0.4135031E-03      -0.4442888E-03
  287       4.5920000       -0.4064183E-03      -0.4412256E-03
  288       4.6080000       -0.3993865E-03      -0.4376722E-03
  289       4.6240000       -0.3924151E-03      -0.4336841E-03
  290       4.6400000       -0.3855107E-03      -0.4293121E-03
  291       4.6560000       -0.3786789E-03      -0.4246032E-03
  292       4.6720000       -0.3719249E-03      -0.4196002E-03
  293       4.6880000       -0.3652531E-03      -0.4143424E-03
  294       4.7040000       -0.3586671E-03      -0.4088657E-03
  295       4.7200000       -0.3521704E-03      -0.4032031E-03
  296       4.7360000       -0.3457655E-03      -0.3973844E-03
  297       4.7520000       -0.3394548E-03      -0.3914370E-03
  298       4.7680000       -0.3332400E-03      -0.3853858E-03
  299       4.7840000       -0.3271228E-03      -0.3792534E-03
  300       4.8000000       -0.3211043E-03      -0.3730602E-03
  301       4.8160000       -0.3151851E-03      -0.3668249E-03
  302       4.8320000       -0.3093660E-03      -0.3605641E-03
  303       4.8480000       -0.3036471E-03      -0.3542930E-03
  304       4.8640000       -0.2980286E-03      -0.3480252E-03
  305       4.8800000       -0.2925103E-03      -0.3417729E-03
  306       4.8960000       -0.2870917E-03      -0.3355470E-03
  307       4.9120000       -0.2817726E-03      -0.3293573E-03
  308       4.9280000       -0.2765521E-03      -0.3232125E-03
  309       4.9440000       -0.2714295E-03      -0.3171202E-03
  310       4.9600000       -0.2664039E-03      -0.3110872E-03
  311       4.9760000       -0.2614743E-03      -0.3051194E-03
  312       4.9920000       -0.2566397E-03      -0.2992221E-03
  313       5.0080000       -0.2518988E-03      -0.2933996E-03
  314       5.0240000       -0.2472505E-03      -0.2876560E-03
  315       5.0400000       -0.2426934E-03      -0.2819943E-03
  316       5.0560000       -0.2382262E-03      -0.2764174E-03
  317       5.0720000       -0.2338476E-03      -0.2709277E-03
  318       5.0880000       -0.2295561E-03      -0.2655268E-03
  319       5.1040000       -0.2253502E-03      -0.2602163E-03
  320       5.1200000       -0.2212287E-03      -0.2549973E-03
  321       5.1360000       -0.2171898E-03      -0.2498705E-03
  322       5.1520000       -0.2132323E-03      -0.2448365E-03
  323       5.1680000       -0.2093546E-03      -0.2398955E-03
  324       5.1840000       -0.2055552E-03      -0.2350475E-03
  325       5.2000000       -0.2018326E-03      -0.2302924E-03
  326       5.2160000       -0.1981853E-03      -0.2256296E-03
  327       5.2320000       -0.1946119E-03      -0.2210588E-03
  328       5.2480000       -0.1911109E-03      -0.2165792E-03
  329       5.2640000       -0.1876809E-03      -0.2121900E-03
  330       5.2800000       -0.1843204E-03      -0.2078902E-03
  331       5.2960000       -0.1810279E-03      -0.2036789E-03
  332       5.3120000       -0.1778022E-03      -0.1995549E-03
  333       5.3280000       -0.1746417E-03      -0.1955171E-03
  334       5.3440000       -0.1715452E-03      -0.1915642E-03
  335       5.3600000       -0.1685112E-03      -0.1876949E-03
  336       5.3760000       -0.1655385E-03      -0.1839079E-03
  337       5.3920000       -0.1626257E-03      -0.1802017E-03
  338       5.4080000       -0.1597716E-03      -0.1765751E-03
  339       5.4240000       -0.1569749E-03      -0.1730266E-03
  340       5.4400000       -0.1542344E-03      -0.1695547E-03
  341       5.4560000       -0.1515488E-03      -0.1661580E-03
  342       5.4720000       -0.1489169E-03      -0.1628350E-03
  343       5.4880000       -0.1463377E-03      -0.1595842E-03
  344       5.5040000       -0.1438099E-03      -0.1564043E-03
  345       5.5200000       -0.1413324E-03      -0.1532938E-03
  346       5.5360000       -0.1389041E-03      -0.1502511E-03
  347       5.5520000       -0.1365240E-03      -0.1472750E-03
  348       5.5680000       -0.1341909E-03      -0.1443639E-03
  349       5.5840000       -0.1319040E-03      -0.1415165E-03
  350       5.6000000       -0.1296621E-03      -0.1387313E-03
  351       5.6160000       -0.1274643E-03      -0.1360070E-03
  352       5.6320000       -0.1253095E-03      -0.1333423E-03
  353       5.6480000       -0.1231970E-03      -0.1307358E-03
  354       5.6640000       -0.1211257E-03      -0.1281862E-03
  355       5.6800000       -0.1190947E-03      -0.1256922E-03
  356       5.6960000       -0.1171032E-03      -0.1232526E-03
  357       5.7120000       -0.1151504E-03      -0.1208661E-03
  358       5.7280000       -0.1132353E-03      -0.1185315E-03
  359       5.7440000       -0.1113571E-03      -0.1162476E-03
  360       5.7600000       -0.1095151E-03      -0.1140132E-03
  361       5.7760000       -0.1077084E-03      -0.1118272E-03
  362       5.7920000       -0.1059363E-03      -0.1096884E-03
  363       5.8080000       -0.1041981E-03      -0.1075958E-03
  364       5.8240000       -0.1024930E-03      -0.1055483E-03
  365       5.8400000       -0.1008204E-03      -0.1035449E-03
  366       5.8560000       -0.9917938E-04      -0.1015844E-03
  367       5.8720000       -0.9756943E-04      -0.9966598E-04
  368       5.8880000       -0.9598985E-04      -0.9778856E-04
  369       5.9040000       -0.9443998E-04      -0.9595120E-04
  370       5.9200000       -0.9291920E-04      -0.9415298E-04
  371       5.9360000       -0.9142688E-04      -0.9239297E-04
  372       5.9520000       -0.8996243E-04      -0.9067029E-04
  373       5.9680000       -0.8852524E-04      -0.8898406E-04
  374       5.9840000       -0.8711475E-04      -0.8733344E-04
  375       6.0000000       -0.8573038E-04      -0.8571758E-04
  376       6.0160000       -0.8437160E-04      -0.8413569E-04
  377       6.0320000       -0.8303786E-04      -0.8258698E-04
  378       6.0480000       -0.8172865E-04      -0.8107067E-04
  379       6.0640000       -0.8044343E-04      -0.7958601E-04
  380       6.0800000       -0.7918173E-04      -0.7813227E-04
  381       6.0960000       -0.7794304E-04      -0.7670873E-04
  382       6.1120000       -0.7672689E-04      -0.7531470E-04
  383       6.1280000       -0.7553282E-04      -0.7394949E-04
  384       6.1440000       -0.7436036E-04      -0.7261245E-04
  385       6.1600000       -0.7320907E-04      -0.7130292E-04
  386       6.1760000       -0.7207852E-04      -0.7002028E-04
  387       6.1920000       -0.7096828E-04      -0.6876390E-04
  388       6.2080000       -0.6987794E-04      -0.6753319E-04
  389       6.2240000       -0.6880709E-04      -0.6632757E-04
  390       6.2400000       -0.6775533E-04      -0.6514645E-04
  391       6.2560000       -0.6672227E-04      -0.6398930E-04
  392       6.2720000       -0.6570754E-04      -0.6285555E-04
  393       6.2880000       -0.6471077E-04      -0.6174468E-04
  394       6.3040000       -0.6373160E-04      -0.6065618E-04
  395       6.3200000       -0.6276966E-04      -0.5958955E-04
  396       6.3360000       -0.6182462E-04      -0.5854428E-04
  397       6.3520000       -0.6089613E-04      -0.5751991E-04
  398       6.3680000       -0.5998387E-04      -0.5651596E-04
  399       6.3840000       -0.5908751E-04      -0.5553197E-04
  400       6.4000000       -0.5820674E-04      -0.5456751E-04
  401       6.4160000       -0.5734125E-04      -0.5362214E-04
  402       6.4320000       -0.5649073E-04      -0.5269544E-04
  403       6.4480000       -0.5565490E-04      -0.5178699E-04
  404       6.4640000       -0.5483346E-04      -0.5089638E-04
  405       6.4800000       -0.5402612E-04      -0.5002324E-04
  406       6.4960000       -0.5323262E-04      -0.4916717E-04
  407       6.5120000       -0.5245268E-04      -0.4832780E-04
  408       6.5280000       -0.5168604E-04      -0.4750476E-04
  409       6.5440000       -0.5093245E-04      -0.4669770E-04
  410       6.5600000       -0.5019163E-04      -0.4590626E-04
  411       6.5760000       -0.4946336E-04      -0.4513012E-04
  412       6.5920000       -0.4874739E-04      -0.4436894E-04
  413       6.6080000       -0.4804348E-04      -0.4362239E-04
  414       6.6240000       -0.4735140E-04      -0.4289017E-04
  415       6.6400000       -0.4667092E-04      -0.4217195E-04
  416       6.6560000       -0.4600182E-04      -0.4146745E-04
  417       6.6720000       -0.4534389E-04      -0.4077636E-04
  418       6.6880000       -0.4469691E-04      -0.4009840E-04
  419       6.7040000       -0.4406067E-04      -0.3943330E-04
  420       6.7200000       -0.4343498E-04      -0.3878077E-04
  421       6.7360000       -0.4281962E-04      -0.3814055E-04
  422       6.7520000       -0.4221441E-04      -0.3751238E-04
  423       6.7680000       -0.4161916E-04      -0.3689601E-04
  424       6.7840000       -0.4103368E-04      -0.3629119E-04
  425       6.8000000       -0.4045778E-04      -0.3569766E-04
  426       6.8160000       -0.3989130E-04      -0.3511521E-04
  427       6.8320000       -0.3933404E-04      -0.3454359E-04
  428       6.8480000       -0.3878584E-04      -0.3398258E-04
  429       6.8640000       -0.3824654E-04      -0.3343196E-04
  430       6.8800000       -0.3771597E-04      -0.3289151E-04
  431       6.8960000       -0.3719396E-04      -0.3236102E-04
  432       6.9120000       -0.3668036E-04      -0.3184029E-04
  433       6.9280000       -0.3617502E-04      -0.3132912E-04
  434       6.9440000       -0.3567778E-04      -0.3082730E-04
